web-scraper-order,web-scraper-start-url,job-link,job-link-href,job-title,job-address,job-details,job-location,job-summary,job-type,job-location-2
1707913118-1,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-2,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-3,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-4,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Position Summary,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-5,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-6,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",This role is Hybrid (Office/home and client site) Ottawa.,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-7,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-8,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Position Summary,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-9,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-10,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",This role is Hybrid (Office/home and client site) Ottawa.,"Ottawa, ON",,Full-time,"Ottawa, ON"
